training batch,Standardized_SMILES,y_true,y_preds,LogP
2,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,63.0,48.318916,6.313600000000008
2,Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C,63.7,62.531925,6.256760000000005
2,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,17.6,33.071278,6.222999999999999
2,Oc1ccc2cc(SSc3ccc4cc(O)ccc4c3)ccc2c1,100.1,99.23629,6.203600000000004
2,CC(C)CCCCCCCCCCCCCCC(=O)O,103.9,61.476185,6.188400000000006
2,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,23.8,52.43378,6.187900000000003
2,CCCCCCCCCCCCc1ccccc1,-13.6,26.183815,6.150000000000007
2,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,30.4,40.29512,6.113300000000004
2,CCCCCCCCC=CCCCCCCCC(=O)O,98.2,75.69659,6.108500000000007
2,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl,86.4,64.83722,6.105500000000001
2,CCCCCCCCCCCCCCC,4.7,26.481436,6.097500000000006
2,CC(C)CCCCCOC(=O)CCCCC(=O)OCCCCCC(C)C,21.0,10.926655,6.066000000000007
2,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,-0.4,16.451399,6.066000000000007
2,CC(C)(c1ccccc1)c1ccc(O)c(C(C)(C)c2ccccc2)c1,97.6,93.44465,6.044000000000007
2,CC(C)(c1cc(Cl)c(O)c(Cl)c1)c1cc(Cl)c(O)c(Cl)c1,105.2,89.34296,6.037300000000004
2,CCCCCC(=O)OC1(C(C)=O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,29.0,22.591864,5.969600000000007
2,CC(C)(C)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,6.1,34.460884,5.948600000000006
2,CCN(Cc1cccc(S(=O)(=O)O)c1)c1ccc(C(=C2C=CC(=O)C=C2S(=O)(=O)O)c2ccc(N(CC)Cc3cccc(S(=O)(=O)O)c3)cc2)cc1,56.9,65.906296,5.945500000000006
2,CCC(C)(C)C(=O)OC1=C(c2ccc(Cl)cc2Cl)C(=O)OC12CCCCC2,42.6,53.1332,5.943600000000005
2,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,19.9,28.696857,5.929000000000002
2,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,28.0,28.696857,5.929000000000002
2,Cc1cc(Cc2cc(C)cc(C(C)(C)C)c2O)c(O)c(C(C)(C)C)c1,52.3,50.294815,5.900440000000007
2,CCCCCC=CCC=CCCCCCCCC(=O)O,74.5,75.69659,5.884500000000005
2,CCCCCCCCCCCCc1ccc(O)cc1,100.05,89.07573,5.855600000000006
2,CCCCCCC(CCCCCCCCCCC(=O)OCC(COC(C)=O)OC(C)=O)OC(C)=O,21.2,16.451399,5.827500000000006
2,O=C(NC(c1ccccc1)C1CN2CCC1CC2)c1c(Cl)ccc(C(F)(F)F)c1Cl,-45.0,-23.8861,5.825100000000004
2,CCCSP(=O)(OCC)Oc1ccc(Br)cc1Cl,97.1,95.420364,5.7691000000000034
2,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,102.9,94.08905,5.715700000000002
2,ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,62.6,42.33143,5.682800000000001
2,CCCCCCCCCCCCCC(=O)OC(C)C,7.8,25.498047,5.639100000000005
2,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1,101.6,80.7044,5.630000000000004
2,O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,21.4,26.528965,5.619500000000003
2,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,64.6,53.533493,5.599500000000002
2,CCCCCCCCC=CCCCCCCCC(=O)OCCO,53.8,41.990677,5.559400000000006
2,CCCCCCCCCCCCCCCC(=O)O,53.4,59.179714,5.552300000000005
2,CCCC(CC)COC(=O)CCCCCC(=O)OCC(C)C(C)CC,11.6,16.451399,5.531800000000006
2,Cc1oc2c(NC(=O)c3c(Cl)cccc3Cl)cccc2c1C(C)(C)O,102.1,73.19807,5.527720000000004
2,C=CCCCCCCCCCCCC,9.6,34.116165,5.483400000000005
2,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)F)c(Cl)c1,-18.9,17.370335,5.470200000000001
2,CCCCCCCCCCCCCCCCO,-22.4,33.743732,5.460000000000006
2,CCOc1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],59.8,59.278328,5.458000000000003
2,CCOCn1c(-c2ccc(Cl)cc2)c(C#N)c(Br)c1C(F)(F)F,94.6,84.43169,5.455480000000002
2,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,26.9,42.291985,5.450300000000004
2,O=[N+]([O-])c1cc(C(F)(F)F)c(Cl)c([N+](=O)[O-])c1N=c1[nH]cc(C(F)(F)F)cc1Cl,108.7,90.50798,5.4079000000000015
2,CCCCCCCCCC[N+](C)(C)Cc1ccccc1,-8.5,10.613621,5.403700000000006
2,CCCCc1ccc2c(n1)C(c1ccc(OC)cc1CC(C)C(=O)O)C(C(=O)O)C2c1ccc2c(c1)OCO2,69.3,64.82001,5.402900000000004
2,CCCCCCCCCCCCc1cccc(S(=O)(=O)O)c1,101.8,76.97818,5.396700000000005
2,CCCCCCCCCCCCc1ccccc1S(=O)(=O)O,103.9,76.71084,5.396700000000005
2,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,45.8,53.100243,5.378200000000002
2,Cc1nc(-c2ccc3c(c2)CCN(CCC2CCC(NC(=O)C=Cc4ccc(F)cc4)CC2)CC3)no1,-24.0,-7.101087,5.3632200000000045
2,CCCCCCCCOc1ccc(C(=O)c2ccccc2)c(O)c1,92.7,89.154106,5.362500000000006
2,CCN(Cc1c(F)cccc1Cl)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],61.1,49.776817,5.340800000000003
2,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,79.5,67.07141,5.331500000000003
2,CCOc1cccc(C2(N3CCN(c4ccccc4)CC3)CCC(C)CC2)c1,15.5,21.067759,5.312900000000005
2,O=C(Nc1ccccc1-c1ccc(Cl)cc1)c1cccnc1Cl,29.3,45.36921,5.307700000000002
2,CCCCN(CCCC)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,67.5,46.87246,5.296100000000005
2,CCCCCCCCCCCCCCCCOS(=O)(=O)O,78.0,72.91929,5.287100000000004
2,ClC1=C(Cl)C2(Cl)C3C4C=CC(C4)C3C1(Cl)C2(Cl)Cl,-15.0,6.3741374,5.270200000000002
2,CSC(=O)c1c(C(F)F)nc(C(F)(F)F)c(C(=O)SC)c1CC(C)C,44.8,35.62803,5.242900000000003
2,C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,9.4,29.12893,5.234600000000002
2,O=C(O)Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1,105.0,105.58745,5.230000000000002
2,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1,23.8,35.35301,5.205900000000003
2,CCOc1cc(C(C)(C)C)ccc1C1COC(c2c(F)cccc2F)=N1,40.1,35.60818,5.1791000000000045
2,CCOC(=O)C(C)OC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],51.8,60.057007,5.167700000000004
2,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,17.7,24.309595,5.160800000000005
2,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,106.0,99.75365,5.144700000000002
2,CCCCCCCCCCCCCCCCCC(=O)OCC(O)CO,9.3,20.82731,5.144300000000007
2,CCc1nn(C2CCCCC2)c2cc(C3(C#N)CCC(C(=O)O)CC3)ccc12,62.7,37.362255,5.140080000000005
2,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,104.7,94.08905,5.080400000000001
2,Cc1ccc(C(C)c2ccc(C)c(C)c2)cc1C,41.1,29.414156,5.072080000000004
2,CCCCC(CC)COC(=O)C=CC(=O)OCC(CC)CCCC,14.7,16.451399,5.061800000000005
2,CC(C)c1cc(C(C)C)cc(C(C)C)c1,-31.8,4.689049,5.056800000000004
2,CCCCC(CC)COC(=O)CCCCC(=O)OCc1ccccc1,13.5,18.5178,5.049800000000006
2,CCc1cc(C2=C(C(=O)O)N(c3ccccc3C(F)(F)F)S(=O)(=O)c3ccccc32)cc2c1OCO2,81.3,64.94,5.049400000000004
2,C1CCC(SSC2CCCCC2)CC1,22.7,21.704922,5.033200000000004
2,CCCCCCCCCCCC(=O)OCC(C)OC(=O)CCCCC(=O)O,34.3,44.520924,5.027200000000004
